Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.894,0.794289897510981,0.8133433283358321,0.8037037037037037,0.9667831796049602
Random Forest,0.8924,0.7948148148148149,0.8043478260869565,0.7995529061102832,0.9648791602562058
XGBoost,0.8956,0.7942028985507247,0.8215892053973014,0.8076639646278556,0.9660928537367977
